timestamp,city,temperature,description
2026-03-17T14:37:06.801Z,Tokyo,10.64,broken clouds
2026-05-12T10:31:13.337Z,London,14.47,scattered clouds
2026-05-12T11:46:03.394Z,London,15.7,scattered clouds
2026-05-12T11:54:52.219Z,London,15.77,scattered clouds
2026-05-12T11:58:35.071Z,London,15.98,scattered clouds
2026-05-12T14:39:06.453Z,London,15.62,overcast clouds
2026-05-12T16:12:58.056Z,London,15.2,broken clouds
2026-05-12T19:27:32.537Z,London,13.68,clear sky
2026-05-12T21:09:39.141Z,London,11.94,scattered clouds
2026-05-12T22:52:22.525Z,London,9.78,scattered clouds
2026-05-13T02:03:55.859Z,London,8.83,few clouds
2026-05-13T06:41:40.077Z,London,10.01,few clouds
2026-05-13T10:13:01.533Z,London,8.82,light rain
2026-05-13T14:04:41.889Z,London,10.27,scattered clouds
2026-05-13T17:54:24.305Z,London,9.86,scattered clouds
2026-05-13T19:29:58.427Z,London,8.61,overcast clouds
2026-05-13T21:16:22.595Z,London,8.09,broken clouds
2026-05-13T22:56:36.946Z,London,7.38,scattered clouds
2026-05-14T02:06:35.128Z,London,7.13,broken clouds
2026-05-14T06:40:40.196Z,London,7.81,overcast clouds
2026-05-14T10:05:17.193Z,London,10.47,broken clouds
2026-05-14T13:28:07.735Z,London,11.04,overcast clouds
2026-05-14T16:07:46.922Z,London,11.14,broken clouds
2026-05-14T19:26:56.055Z,London,9.63,overcast clouds
2026-05-14T21:02:34.876Z,London,8.52,broken clouds
2026-05-14T22:48:43.974Z,London,7.6,broken clouds
2026-05-15T02:04:59.127Z,London,7.03,overcast clouds
2026-05-15T06:49:47.343Z,London,8.16,scattered clouds
2026-05-15T10:12:10.604Z,London,10.89,few clouds
2026-05-15T13:27:30.887Z,London,13.25,scattered clouds
2026-05-15T15:55:52.753Z,London,14.1,overcast clouds
2026-05-15T17:22:03.917Z,London,14.1,overcast clouds
2026-05-15T19:15:20.700Z,London,12.63,overcast clouds
2026-05-15T20:50:47.594Z,London,10.59,overcast clouds
2026-05-15T22:46:53.526Z,London,8.43,overcast clouds
2026-05-16T01:56:50.518Z,London,6.8,clear sky
2026-05-16T05:22:59.358Z,London,5.18,clear sky
2026-05-16T07:48:42.903Z,London,9.31,broken clouds
2026-05-16T09:20:21.812Z,London,12.73,broken clouds
2026-05-16T10:54:34.791Z,London,13.47,broken clouds
2026-05-16T12:57:03.466Z,London,14.45,broken clouds
2026-05-16T14:46:53.458Z,London,14.39,overcast clouds
2026-05-16T16:44:13.223Z,London,13.56,light rain
2026-05-16T18:48:11.403Z,London,12.05,light rain
2026-05-16T20:37:53.661Z,London,11.52,overcast clouds
2026-05-16T22:35:41.042Z,London,11.36,few clouds
2026-05-17T01:58:55.603Z,London,10.92,broken clouds
2026-05-17T05:49:07.326Z,London,9.97,broken clouds
2026-05-17T08:09:15.549Z,London,12.1,few clouds
2026-05-17T10:58:15.813Z,London,14.92,few clouds
2026-05-17T12:54:42.596Z,London,16.58,overcast clouds
2026-05-17T14:48:50.544Z,London,17.22,overcast clouds
2026-05-17T16:44:41.375Z,London,15.71,overcast clouds
2026-05-17T18:52:26.230Z,London,12.5,broken clouds
2026-05-17T20:38:51.389Z,London,11.32,overcast clouds
2026-05-17T22:42:39.602Z,London,9.66,overcast clouds
2026-05-18T02:10:47.196Z,London,8.12,overcast clouds
2026-05-18T07:54:09.329Z,London,11.87,broken clouds
2026-05-18T11:36:50.172Z,London,13.97,broken clouds
2026-05-18T14:52:48.310Z,London,14.01,broken clouds
2026-05-18T17:51:38.378Z,London,13.55,few clouds
2026-05-18T19:23:24.939Z,London,12.95,overcast clouds
2026-05-18T21:01:27.395Z,London,12.33,broken clouds
2026-05-18T22:47:39.727Z,London,11.74,light rain
2026-05-19T02:11:01.839Z,London,11.1,moderate rain
2026-05-19T07:36:01.356Z,London,12.3,light rain
2026-05-19T10:53:25.436Z,London,16.31,broken clouds
2026-05-19T14:34:25.718Z,London,17.07,broken clouds
2026-05-19T17:56:15.705Z,London,16.32,broken clouds
2026-05-19T19:44:59.982Z,London,14.99,broken clouds
